title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Kiplinger's Industrial Policy Report,https://www.kiplinger.com/investing/economy/kiplingers-industrial-policy-report,2023-01-10 22:00:07,"The past few years marked a wake-up call in Washington, with the pandemic and supply chain shortages, rising competition with China, the war in Ukraine, and, now, the specter of recession. Lawmakers are taking a more active role in the economy to bolster critical industries, key technologies, and ...",AMAT,0.021718,0.118637,Neutral
Precious Metal Plating Chemicals Market is expected to grow from USD 2 billion in 2022 to USD 2.95 billion by 2030 : GreyViews,https://www.benzinga.com/pressreleases/23/01/g30337991/precious-metal-plating-chemicals-market-is-expected-to-grow-from-usd-2-billion-in-2022-to-usd-2-95,2023-01-09 18:00:00,"Pune India, Jan. 09, 2023 ( GLOBE NEWSWIRE ) -- The market has been studied for the below mentioned-segmentation and regional analysis for North America, Europe, Asia, South America, and the Middle East and Africa.",AMAT,0.02275,0.116767,Neutral
Applied Materials Gained 7% in the Second Half of 2022. Is the Worst Over?,https://www.fool.com/investing/2023/01/09/applied-materials-actually-gained-7-in-the-second/,2023-01-09 05:33:13,The semiconductor equipment company should benefit from a reshuffling of the computer chip supply chain this decade.,AMAT,0.77496,0.154503,Somewhat-Bullish
How to Invest in Tech ETFs,https://www.fool.com/investing/stock-market/market-sectors/information-technology/tech-etfs/,2023-01-06 22:53:43,Here's how to get tech exposure without the single-stock risk.,AMAT,0.068995,0.012141,Neutral
Applied Materials  ( AMAT )  Dips More Than Broader Markets: What You Should Know,https://www.zacks.com/stock/news/2035960/applied-materials-amat-dips-more-than-broader-markets-what-you-should-know,2023-01-05 22:50:20,"In the latest trading session, Applied Materials (AMAT) closed at $97.92, marking a -1.4% move from the previous day.",AMAT,0.605266,0.196117,Somewhat-Bullish
Jack Henry  ( JKHY )  to Reduce Carbon Footprint With New Targets,https://www.zacks.com/stock/news/2042141/jack-henry-jkhy-to-reduce-carbon-footprint-with-new-targets,2023-01-20 17:02:00,Jack Henry (JKHY) gears up to set science-based climate targets to achieve the long-term sustainability of its business model.,AMAT,0.298264,0.344384,Somewhat-Bullish
"Semiconductor Inspection System Market Size To Reach USD 8.3 Billion, at a CAGR of 5.1% by 2030- Report by Market Research Future  ( MRFR ) ",https://www.benzinga.com/pressreleases/23/01/g30477568/semiconductor-inspection-system-market-size-to-reach-usd-8-3-billion-at-a-cagr-of-5-1-by-2030-repo,2023-01-19 09:50:02,"New York, US, Jan. 19, 2023 ( GLOBE NEWSWIRE ) -- According to a comprehensive research report by Market Research Future ( MRFR ) , ""Semiconductor Inspection System Market Research Report: By Type, End-Users - Forecast Till 2030, the market is anticipated to acquire a valuation of approximately ...",AMAT,0.031405,0.0,Neutral
2 Unlikely Nasdaq Stocks Crushing the Market to Buy Hand Over Fist Right Now,https://www.fool.com/investing/2023/01/18/unlikely-nasdaq-stocks-crushing-market-buy/,2023-01-18 15:05:00,"These companies are in fine form in the market, and they seem set to soar higher.",AMAT,0.470606,0.323895,Somewhat-Bullish
"Investors Heavily Search Applied Materials, Inc.  ( AMAT ) : Here is What You Need to Know",https://www.zacks.com/stock/news/2040664/investors-heavily-search-applied-materials-inc-amat-here-is-what-you-need-to-know,2023-01-18 14:00:06,"Applied Materials (AMAT) has received quite a bit of attention from Zacks.com users lately. Therefore, it is wise to be aware of the facts that can impact the stock's prospects.",AMAT,0.510952,0.147925,Neutral
8 Cheap Tech Stocks to Watch in 2023,https://www.fool.com/investing/stock-market/market-sectors/information-technology/cheap-tech-stocks/,2023-01-17 20:37:03,These stocks can be considered a deal in the technology sector. Find out if these cheap tech stocks are right for you.,AMAT,0.086452,0.13022,Neutral
Here's What's Likely To Drive Semiconductor Stocks In 2023,https://www.investors.com/news/technology/semiconductor-stocks-what-is-ahead-in-2023/,2023-01-17 18:52:00,Semiconductor Stocks: What's Ahead In 2023? Investor's Business Daily ...,AMAT,0.219477,0.239041,Somewhat-Bullish
"Global Semiconductor Packaging Market Expected to Garner $52,271.6 Million by 2028 and Grow at 7.0% CAGR in the 2021-2028 Timeframe [382-Pages] | Announced by Research Dive",https://www.benzinga.com/pressreleases/23/01/g30428192/global-semiconductor-packaging-market-expected-to-garner-52-271-6-million-by-2028-and-grow-at-7-0-,2023-01-16 14:02:00,"New York, USA, Jan. 16, 2023 ( GLOBE NEWSWIRE ) -- According to the newly published Research Dive report, the global semiconductor packaging market is expected to gather $52,271.6 million by 2028 and rise at a stable CAGR of 7.0% in the 2021-2028 timeframe.",AMAT,0.052685,0.006008,Neutral
"Down 38.1% in 2022, Is Applied Materials Stock a Buy??",https://www.fool.com/investing/2023/01/15/down-381-in-2022-is-applied-materials-stock-a-buy/,2023-01-15 11:18:00,Investors are curious whether the stock price decline is a buying opportunity.,AMAT,0.999142,0.518379,Bullish
